10, 4000, 0, 0, 1000, 0
15, 3500, 0, 0, 1000, 0
20, 3000, 0, 0, 1000, 0
25, 2500, 0, 0, 1000, 0
30, 2000, 0, 0, 1000, 0
35, 1500, 0, 0, 1000, 0
40, 1000, 0, 0, 1000, 0
45, 800, 0, 0, 1000, 0
50, 4000, 0, 0, 1000, 0
55, 3500, 0, 0, 1000, 0
60, 3000, 0, 0, 1000, 0
65, 2500, 0, 0, 1000, 0
70, 2000, 0, 0, 1000, 0
75, 1500, 0, 0, 1000, 0
80, 1000, 0, 0, 1000, 0
85, 800, 0, 0, 1000, 0
90, 4000, 0, 0, 1000, 0
95, 3500, 0, 0, 1000, 0
100, 3000, 0, 0, 1000, 0
105, 2500, 0, 0, 1000, 0
110, 2000, 0, 0, 1000, 0
115, 1500, 0, 0, 1000, 0
120, 1000, 0, 0, 1000, 0
125, 800, 0, 0, 1000, 0
130, 4000, 0, 0, 1000, 0
135, 3500, 0, 0, 1000, 0
140, 3000, 0, 0, 1000, 0
145, 2500, 0, 0, 1000, 0
